endDate,value_alex,value_james
2018-09-27,16,
2018-09-28,15,
2018-09-29,11,
2018-09-30,14,
2018-10-01,14,
2018-10-02,13,
2018-10-03,14,
2018-10-04,14,
2018-10-05,17,
2018-10-06,14,
2018-10-07,9,
2018-10-08,15,
2018-10-09,16,
2018-10-10,13,
2018-10-11,14,
2018-10-12,17,
2018-10-13,16,
2018-10-14,9,
2018-10-15,13,
2018-10-16,14,
2018-10-17,17,
2018-10-18,17,
2018-10-19,14,
2018-10-20,8,
2018-10-21,15,
2018-10-22,16,
2018-10-23,12,
2018-10-24,16,
2018-10-25,16,
2018-10-26,16,
2018-10-27,10,
2018-10-28,12,
2018-10-29,15,
2018-10-30,15,
2018-10-31,16,
2018-11-01,12,
2018-11-02,13,
2018-11-03,13,
2018-11-04,9,
2018-11-05,13,
2018-11-06,14,
2018-11-07,17,
2018-11-08,14,
2018-11-09,12,
2018-11-10,13,
2018-11-11,2,
2018-11-12,14,
2018-11-13,17,
2018-11-14,17,
2018-11-15,14,
2018-11-16,14,24.0
2018-11-17,6,23.0
2018-11-18,13,12.0
2018-11-19,13,20.0
2018-11-20,12,14.0
2018-11-21,14,16.0
2018-11-22,10,14.0
2018-11-23,9,14.0
2018-11-24,11,12.0
2018-11-25,10,9.0
2018-11-26,16,15.0
2018-11-27,15,15.0
2018-11-28,13,14.0
2018-11-29,15,17.0
2018-11-30,14,17.0
2018-12-01,10,16.0
2018-12-02,9,14.0
2018-12-03,13,16.0
2018-12-04,13,16.0
2018-12-05,13,14.0
2018-12-06,15,15.0
2018-12-07,15,19.0
2018-12-08,13,15.0
2018-12-09,11,12.0
2018-12-10,13,15.0
2018-12-11,13,12.0
2018-12-12,10,15.0
2018-12-13,13,15.0
2018-12-14,13,17.0
2018-12-15,10,15.0
2018-12-16,15,16.0
2018-12-17,14,17.0
2018-12-18,7,15.0
2018-12-19,13,18.0
2018-12-20,15,13.0
2018-12-21,9,19.0
2018-12-22,7,13.0
2018-12-23,5,12.0
2018-12-24,10,18.0
2018-12-25,11,11.0
2018-12-26,14,15.0
2018-12-27,12,11.0
2018-12-28,12,15.0
2018-12-29,13,15.0
2018-12-30,14,12.0
2018-12-31,11,15.0
2019-01-01,13,13.0
2019-01-02,13,13.0
2019-01-03,16,16.0
2019-01-04,14,16.0
2019-01-05,9,16.0
2019-01-06,11,14.0
2019-01-07,16,11.0
2019-01-08,15,16.0
2019-01-09,15,14.0
2019-01-10,14,15.0
2019-01-11,12,12.0
2019-01-12,15,17.0
2019-01-13,10,14.0
2019-01-14,14,18.0
2019-01-15,13,16.0
2019-01-16,17,16.0
2019-01-17,15,12.0
2019-01-18,6,17.0
2019-01-19,14,11.0
2019-01-20,11,15.0
2019-01-21,13,16.0
2019-01-22,16,13.0
2019-01-23,16,18.0
2019-01-24,14,13.0
2019-01-25,12,15.0
2019-01-26,14,18.0
2019-01-27,14,13.0
2019-01-28,14,16.0
2019-01-29,14,15.0
2019-01-30,11,14.0
2019-01-31,13,14.0
2019-02-01,15,17.0
2019-02-02,13,14.0
2019-02-03,15,15.0
2019-02-04,7,16.0
2019-02-05,12,16.0
2019-02-06,13,14.0
2019-02-07,12,11.0
2019-02-08,11,12.0
2019-02-09,14,13.0
2019-02-10,12,13.0
2019-02-11,17,6.0
2019-02-12,12,9.0
2019-02-13,13,16.0
2019-02-14,15,11.0
2019-02-15,13,9.0
2019-02-16,10,12.0
2019-02-17,12,11.0
2019-02-18,13,13.0
2019-02-19,14,14.0
2019-02-20,13,8.0
2019-02-21,12,16.0
2019-02-22,13,15.0
2019-02-23,18,11.0
2019-02-24,11,15.0
2019-02-25,14,15.0
2019-02-26,14,13.0
2019-02-27,16,14.0
2019-02-28,17,16.0
2019-03-01,17,16.0
